scenario,baseline,seed,regularization,iterations,regularization_param,iterations_param,rmse,rmse_percent,coverage,coverage_percent,mean_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_1,DPFOT,55,0.1,20,epsilon,sinkhorn_iters,29.20262908935547,62.38246536254883,0.453000009059906,45.29999923706055,200.00001525878906,2.663670301437378,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.1,50,epsilon,sinkhorn_iters,31.9161376953125,68.17904663085938,0.5139999985694885,51.400001525878906,200.00001525878906,6.613189697265625,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.1,50,epsilon,sinkhorn_iters,31.263595581054688,66.78508758544922,0.5149999856948853,51.5,200.00001525878906,6.5323872566223145,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.1,50,epsilon,sinkhorn_iters,31.494626998901367,67.27861022949219,0.531000018119812,53.10000228881836,200.00001525878906,6.351844787597656,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.1,50,epsilon,sinkhorn_iters,31.514820098876953,67.32174682617188,0.5289999842643738,52.89999771118164,200.00001525878906,6.209587574005127,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.1,50,epsilon,sinkhorn_iters,31.09406852722168,66.42294311523438,0.5189999938011169,51.89999771118164,200.00001525878906,6.125527858734131,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.1,100,epsilon,sinkhorn_iters,32.75605392456055,69.9732666015625,0.4189999997615814,41.900001525878906,200.00001525878906,12.737361669540405,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.1,100,epsilon,sinkhorn_iters,32.263736724853516,68.92158508300781,0.36899998784065247,36.89999771118164,200.00001525878906,13.02538251876831,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.1,100,epsilon,sinkhorn_iters,31.249067306518555,66.7540512084961,0.40700000524520874,40.70000076293945,200.00001525878906,12.411966562271118,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.1,100,epsilon,sinkhorn_iters,32.55207824707031,69.53753662109375,0.414000004529953,41.400001525878906,200.00001525878906,12.936204433441162,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.1,100,epsilon,sinkhorn_iters,32.22715377807617,68.84342956542969,0.3970000147819519,39.70000076293945,200.00001525878906,12.059120178222656,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.2,20,epsilon,sinkhorn_iters,29.688053131103516,63.41942596435547,0.5239999890327454,52.39999771118164,200.00001525878906,2.765713930130005,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.2,20,epsilon,sinkhorn_iters,30.026384353637695,64.14216613769531,0.5490000247955322,54.900001525878906,200.00001525878906,2.69657564163208,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.2,20,epsilon,sinkhorn_iters,31.179763793945312,66.60600280761719,0.5419999957084656,54.20000076293945,200.00001525878906,2.4656381607055664,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.2,20,epsilon,sinkhorn_iters,32.81462860107422,70.09839630126953,0.5360000133514404,53.60000228881836,200.00001525878906,2.436441421508789,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.2,20,epsilon,sinkhorn_iters,30.140365600585938,64.38565063476562,0.5389999747276306,53.89999771118164,200.00001525878906,2.7624335289001465,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.2,50,epsilon,sinkhorn_iters,32.74448013305664,69.94853973388672,0.39899998903274536,39.89999771118164,200.00001525878906,6.314996719360352,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.2,50,epsilon,sinkhorn_iters,31.83124542236328,67.99769592285156,0.46000000834465027,46.0,200.00001525878906,6.440320014953613,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.2,50,epsilon,sinkhorn_iters,30.797306060791016,65.78900146484375,0.39100000262260437,39.099998474121094,200.00001525878906,6.303279399871826,0.0
