scenario,baseline,seed,transport_strength,rmse,mean_ess,runtime_sec,acceptance_or_resample_mean
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,55,0.15,35.78915023803711,200.00001525878906,2.705953359603882,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,11,0.35,35.63450241088867,200.00001525878906,2.768526554107666,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,22,0.35,35.02936553955078,200.00001525878906,2.899306297302246,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,33,0.35,35.52155303955078,200.00001525878906,2.642334222793579,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,44,0.35,37.387142181396484,200.00001525878906,2.9230549335479736,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,55,0.35,35.96870803833008,200.00001525878906,2.9053573608398438,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,11,0.55,41.184261322021484,200.00001525878906,2.688520669937134,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,22,0.55,40.4245491027832,200.00001525878906,2.875131607055664,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,33,0.55,38.68782424926758,200.00001525878906,3.040961503982544,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,44,0.55,40.02692413330078,200.00001525878906,2.987290143966675,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,55,0.55,41.085514068603516,200.00001525878906,2.9672935009002686,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,11,0.15,35.7816162109375,200.00001525878906,0.5097713470458984,0.5055500268936157
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,22,0.15,35.105628967285156,200.00001525878906,0.5701732635498047,0.5053999423980713
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,33,0.15,36.09843063354492,200.00001525878906,0.638077974319458,0.5073999762535095
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,44,0.15,35.665897369384766,200.00001525878906,0.6528594493865967,0.5095999836921692
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,55,0.15,35.653873443603516,200.00001525878906,0.6129286289215088,0.510699987411499
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,11,0.35,36.575035095214844,200.00001525878906,0.5494825839996338,0.515250027179718
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,22,0.35,35.88288497924805,200.00001525878906,0.5808284282684326,0.5132499933242798
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,33,0.35,35.957733154296875,200.00001525878906,0.5958542823791504,0.508150041103363
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,44,0.35,35.95628356933594,200.00001525878906,0.5168139934539795,0.5123000144958496
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,55,0.35,37.98115539550781,200.00001525878906,0.6181671619415283,0.5178499817848206
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,11,0.55,40.056453704833984,200.00001525878906,0.6352839469909668,0.5117999911308289
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,22,0.55,40.55023193359375,200.00001525878906,0.7014307975769043,0.5188500285148621
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,33,0.55,39.908843994140625,200.00001525878906,0.6939990520477295,0.5192000269889832
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,44,0.55,39.35928726196289,200.00001525878906,0.7152364253997803,0.5153999924659729
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,55,0.55,43.12666702270508,200.00001525878906,0.5354907512664795,0.5159000158309937
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,11,0.15,39.14655303955078,200.00001525878906,3.169968843460083,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,22,0.15,39.26616287231445,200.00001525878906,3.2525675296783447,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,33,0.15,39.00972366333008,200.00001525878906,3.30619215965271,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,44,0.15,39.323265075683594,200.00001525878906,3.049111843109131,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,55,0.15,39.008338928222656,200.00001525878906,3.112593412399292,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,11,0.35,38.85943603515625,200.00001525878906,3.5154290199279785,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,22,0.35,38.9283561706543,200.00001525878906,3.59932541847229,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,33,0.35,38.79363250732422,200.00001525878906,2.7860989570617676,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,44,0.35,39.361412048339844,200.00001525878906,2.879129648208618,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,55,0.35,39.090187072753906,200.00001525878906,2.9403421878814697,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,11,0.55,39.54078674316406,200.00001525878906,2.8064582347869873,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,22,0.55,39.00531768798828,200.00001525878906,2.7898833751678467,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,33,0.55,39.33734893798828,200.00001525878906,2.8010735511779785,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,44,0.55,39.66044616699219,200.00001525878906,2.732504367828369,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,55,0.55,40.380027770996094,200.00001525878906,2.7509663105010986,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,11,0.15,39.13222122192383,200.00001525878906,0.5086109638214111,0.9386999607086182
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,22,0.15,39.22593307495117,200.00001525878906,0.5049488544464111,0.9347000122070312
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,33,0.15,38.83395004272461,200.00001525878906,0.6525092124938965,0.9352999925613403
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,44,0.15,39.4486198425293,200.00001525878906,0.5107765197753906,0.9355000257492065
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,55,0.15,39.05539321899414,200.00001525878906,0.4951450824737549,0.9408000111579895
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,11,0.35,38.78268814086914,200.00001525878906,0.5254387855529785,0.95455002784729
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,22,0.35,39.4150505065918,200.00001525878906,0.5279834270477295,0.953200101852417
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,33,0.35,38.54674530029297,200.00001525878906,0.6707808971405029,0.9541500210762024
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,44,0.35,39.183631896972656,200.00001525878906,0.5199198722839355,0.9541500210762024
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,55,0.35,39.092288970947266,200.00001525878906,0.5373842716217041,0.9567499756813049
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,11,0.55,40.960479736328125,200.00001525878906,0.5812389850616455,0.9589500427246094
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,22,0.55,39.739280700683594,200.00001525878906,0.5025448799133301,0.9592500329017639
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,33,0.55,40.494136810302734,200.00001525878906,0.5080001354217529,0.960349977016449
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,44,0.55,38.46376037597656,200.00001525878906,0.4909796714782715,0.9614500403404236
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,55,0.55,42.30611801147461,200.00001525878906,0.5086467266082764,0.9618499875068665
