scenario,baseline,seed,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,SPFSM,55,1.4371776568889618,0.025186907014153652,1.029519362449646,0.0038873375158678773
sigmaV2_10_sigmaW2_1,DPF-GradNet,11,11.274474673271179,2.0224580725124945,1.000000478029251,1.300365180463506e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,22,10.99457194328308,1.986992956251792,1.0000004708766936,1.4924984008728165e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,33,10.985490097999573,1.8897637584147675,1.0000004887580871,1.385086779430181e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,44,10.721467666625976,1.835367380493592,1.0000005042552949,1.3259052895352818e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,55,10.889838733673095,1.8443723478322516,1.0000004887580871,1.5125963140069868e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,11.118845019340515,2.001503665449989,1.000000492334366,1.2800990810128497e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,10.989852085113526,1.853673201485196,1.0000004637241364,1.4294680127582064e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,11.228517136573792,1.7364612455138848,1.0000004911422729,1.1834787031164986e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,11.313355836868286,2.013917901873842,1.0000004947185517,1.4342319268603282e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,11.204289741516114,1.796038360848557,1.00000048995018,1.399326148975886e-07
