scenario,baseline,iteration,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,DPF-GradNet,39,10.127726364135743,1.3062050689181643,1.0000003814697265,1.39020726557858e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,40,12.32504482269287,0.910056983402599,1.000000548362732,1.9369216929998303e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,41,9.594799613952636,1.1024827791085823,1.000000524520874,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,42,11.951163864135742,1.12673333117986,1.0000004768371582,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,43,11.472717094421387,1.4103405822330772,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,44,9.920478630065919,0.4936634999440245,1.0000004291534423,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,45,13.461999320983887,1.00549026579669,1.0000004529953004,1.5814899398591043e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,46,11.072506713867188,1.1309695645202449,1.0000004053115845,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,47,10.38403606414795,1.8553538152095725,1.0000004768371582,1.5078914929239175e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,48,11.710729026794434,1.3048933574488981,1.0000004768371582,1.6858739404357614e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,49,8.308722114562988,0.9848684958710695,1.000000548362732,1.6170334775746508e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,50,7.858356666564942,1.821987451680232,1.0000004768371582,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,51,13.569771575927735,1.7252087295647913,1.00000057220459,2.3115538870889327e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,52,12.337136268615723,0.7338059096207766,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,53,11.460694122314454,1.0117025673920825,1.0000006675720214,1.430511474609375e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,54,8.651049041748047,0.7477337057765943,1.000000500679016,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,55,9.222097015380859,1.1921904544055846,1.0000004529953004,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,56,12.84415798187256,0.973255047883245,1.000000500679016,1.1680077279964342e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,57,9.653656005859375,1.2421488733056867,1.0000004053115845,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,58,12.191385841369629,1.4162293912578703,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,59,11.06587085723877,0.6428693014626906,1.0000004768371582,1.6858739404357614e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,60,10.475277137756347,0.3057161380778344,1.000000524520874,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,61,12.214787673950195,1.0218324476025586,1.0000003814697265,1.7520115919946512e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,62,11.497467041015625,1.514050249427194,1.00000057220459,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,63,10.439284896850586,0.9746017569439152,1.0000006437301636,1.784161275279017e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,64,12.84917049407959,0.6202476196770274,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,65,10.933057022094726,0.758546945593247,1.00000057220459,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,66,13.195939064025879,1.1722095541109498,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,67,9.689672470092773,1.4836552868115587,1.000000548362732,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,68,9.25572853088379,0.3798361160193964,1.0000006675720214,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,69,11.989431381225586,1.0736691793801303,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,70,9.478411865234374,0.5652764773634426,1.0000004053115845,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,71,11.598378753662109,0.37880433425236587,1.0000006198883056,1.9073486328125e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,72,11.069272422790528,1.9075222052369183,1.000000500679016,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,73,9.887299346923829,0.9811973141971153,1.000000500679016,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,74,11.520439529418946,0.8274910742080898,1.00000057220459,1.5814899398591043e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,75,9.472775840759278,0.905438800248883,1.0000004768371582,1.5078914929239175e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,76,8.259210968017578,1.2433515638908124,1.000000524520874,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,77,14.207709884643554,1.1782558229152282,1.0000004053115845,1.430511474609375e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,78,11.083578491210938,0.42595880140939457,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,79,13.088465881347656,0.5275970855888967,1.0000004768371582,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,80,10.300507736206054,0.7139874425760084,1.0000004529953004,2.1851423716334536e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,81,11.129679870605468,1.0310900817599744,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,82,12.810687255859374,0.49482198563994656,1.0000004291534423,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,83,10.932425498962402,0.6547410308084013,1.0000004768371582,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,84,10.601751327514648,1.3233623556634053,1.0000004291534423,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,85,11.051634597778321,0.5382792023613663,1.000000524520874,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,86,10.020145893096924,1.4374069184074452,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,87,12.895047187805176,1.5533780846127676,1.000000524520874,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,88,8.738875102996825,0.763231843762397,1.0000006198883056,4.76837158203125e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,89,9.236386680603028,1.287654289285014,1.00000057220459,2.0509541671377722e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,90,13.555201721191406,1.048377872215431,1.0000004053115845,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,91,9.748431396484374,0.7431764371199878,1.0000004768371582,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,92,11.156190872192383,0.7544565090262838,1.000000524520874,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,93,10.894744110107421,0.5249780060008705,1.0000006437301636,1.9369216929998303e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,94,11.876576805114746,1.5849764867922727,1.000000524520874,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,95,11.574868774414062,1.9300564059395575,1.0000004053115845,1.6170334775746508e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,96,9.725965690612792,0.9515127940918613,1.000000500679016,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,97,9.961552810668945,1.2497798776813596,1.00000057220459,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,98,11.078240394592285,1.3103086032465239,1.000000524520874,1.2157009872419322e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,99,10.160694694519043,1.4471183046517666,1.0000004053115845,1.430511474609375e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,100,11.122937393188476,0.6069329187280416,1.000000548362732,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,1,14.278264617919922,0.527315813812244,1.0000004053115845,1.784161275279017e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,2,14.027974891662598,0.5686248677075166,1.000000500679016,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,3,11.19463939666748,1.8011728797868005,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,4,8.770200634002686,1.2714886963480865,1.0000006198883056,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,5,9.306190681457519,0.6329275720776385,1.000000548362732,1.784161275279017e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,6,13.501219558715821,0.7177579018336684,1.0000004529953004,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,7,10.985258483886719,1.0684379392041694,1.0000005960464478,2.611744678045111e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,8,10.605911254882812,0.5398222676518296,1.000000524520874,1.784161275279017e-07
