scenario,baseline,seed,rmse,rmse_percent,coverage,coverage_percent,mean_ess,final_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_1,DPFOT,22,31.263595581054688,66.78508758544922,0.5149999856948853,51.5,200.00001525878906,200.00001525878906,6.227571249008179,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,31.494626998901367,67.27861022949219,0.531000018119812,53.10000228881836,200.00001525878906,200.00001525878906,6.53238844871521,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,31.514820098876953,67.32174682617188,0.5289999842643738,52.89999771118164,200.00001525878906,200.00001525878906,6.382193326950073,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,31.09406852722168,66.42294311523438,0.5189999938011169,51.89999771118164,200.00001525878906,200.00001525878906,6.172122001647949,0.0
sigmaV2_10_sigmaW2_1,DPFOT-HMC,11,32.76701736450195,69.9966812133789,0.5019999742507935,50.19999694824219,200.00001525878906,200.00001525878906,7.631073713302612,0.0
sigmaV2_10_sigmaW2_1,DPFOT-HMC,22,30.011192321777344,64.10971069335938,0.5099999904632568,51.0,200.00001525878906,200.00001525878906,7.794705390930176,0.0
sigmaV2_10_sigmaW2_1,DPFOT-HMC,33,30.78080940246582,65.7537612915039,0.4959999918937683,49.599998474121094,200.00001525878906,200.00001525878906,7.445852518081665,0.0
sigmaV2_10_sigmaW2_1,DPFOT-HMC,44,32.89273452758789,70.26524353027344,0.49300000071525574,49.29999923706055,200.00001525878906,200.00001525878906,7.305896520614624,0.0
sigmaV2_10_sigmaW2_1,DPFOT-HMC,55,31.76797866821289,67.862548828125,0.515999972820282,51.599998474121094,200.00001525878906,200.00001525878906,7.508611440658569,0.0
sigmaV2_10_sigmaW2_1,IPFPF,11,29.377771377563477,62.75659942626953,0.9309999942779541,93.0999984741211,200.00001525878906,200.00001525878906,0.8866827487945557,0.0
sigmaV2_10_sigmaW2_1,IPFPF,22,29.4344425201416,62.877662658691406,0.9330000281333923,93.30000305175781,200.00001525878906,200.00001525878906,0.9247927665710449,0.0
sigmaV2_10_sigmaW2_1,IPFPF,33,29.491947174072266,63.00050735473633,0.9300000071525574,93.0,200.00001525878906,200.00001525878906,0.7870376110076904,0.0
sigmaV2_10_sigmaW2_1,IPFPF,44,29.50904083251953,63.037017822265625,0.9300000071525574,93.0,200.00001525878906,200.00001525878906,0.770479679107666,0.0
sigmaV2_10_sigmaW2_1,IPFPF,55,29.472776412963867,62.95954895019531,0.9330000281333923,93.30000305175781,200.00001525878906,200.00001525878906,0.8306591510772705,0.0
sigmaV2_10_sigmaW2_1,SPFSM,11,29.41910743713379,62.84490203857422,0.9290000200271606,92.9000015258789,200.00001525878906,200.00001525878906,1.5286953449249268,0.0
sigmaV2_10_sigmaW2_1,SPFSM,22,29.442380905151367,62.89461898803711,0.9399999976158142,94.0,200.00001525878906,200.00001525878906,1.551421880722046,0.0
sigmaV2_10_sigmaW2_1,SPFSM,33,29.483922958374023,62.98336410522461,0.9369999766349792,93.69999694824219,200.00001525878906,200.00001525878906,1.4805197715759277,0.0
sigmaV2_10_sigmaW2_1,SPFSM,44,29.30360221862793,62.59815979003906,0.9279999732971191,92.79999542236328,200.00001525878906,200.00001525878906,1.5629329681396484,0.0
sigmaV2_10_sigmaW2_1,SPFSM,55,29.429983139038086,62.86813735961914,0.9369999766349792,93.69999694824219,200.00001525878906,200.00001525878906,1.510202169418335,0.0
